,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,35670,46607,0,8950,1987,420100,湖北省
1,孝感,2180,3465,0,1177,108,420900,湖北省
2,黄冈,1142,2904,0,1659,103,421100,湖北省
3,鄂州,873,1383,0,470,40,420700,湖北省
4,荆州,798,1574,0,734,42,421000,湖北省
5,随州,719,1303,0,551,33,421300,湖北省
6,襄阳,624,1174,0,521,29,420600,湖北省
7,宜昌,591,924,0,304,29,420500,湖北省
8,荆门,494,920,0,389,37,420800,湖北省
9,黄石,484,1005,0,491,30,420200,湖北省
10,咸宁,380,836,0,445,11,421200,湖北省
11,十堰,374,669,0,293,2,420300,湖北省
12,仙桃,286,573,0,268,19,429004,湖北省
13,天门,223,494,0,258,13,429006,湖北省
14,潜江,104,194,0,82,8,429005,湖北省
15,恩施州,101,251,0,146,4,422800,湖北省
16,神农架林区,1,11,0,10,0,429021,湖北省
17,深圳,165,417,0,249,3,440300,广东省
18,广州,141,345,0,204,0,440100,广东省
19,东莞,59,96,0,36,1,441900,广东省
20,佛山,48,84,0,36,0,440600,广东省
21,珠海,43,98,0,54,1,440400,广东省
22,惠州,16,62,0,46,0,441300,广东省
23,中山,15,66,0,51,0,442000,广东省
24,江门,14,23,0,9,0,440700,广东省
25,湛江,8,22,0,14,0,440800,广东省
26,肇庆,8,19,0,10,1,441200,广东省
27,茂名,7,14,0,7,0,440900,广东省
28,梅州,5,16,0,11,0,441400,广东省
29,汕头,4,25,0,21,0,440500,广东省
30,阳江,4,14,0,10,0,441700,广东省
31,韶关,4,10,0,6,0,440200,广东省
32,揭阳,3,8,0,5,0,445200,广东省
33,汕尾,3,5,0,2,0,441500,广东省
34,河源,3,4,0,1,0,441600,广东省
35,清远,2,12,0,10,0,441800,广东省
36,潮州,1,5,0,4,0,445100,广东省
37,温州,197,504,0,306,1,330300,浙江省
38,台州,48,146,0,98,0,331000,浙江省
39,宁波,43,157,0,114,0,330200,浙江省
40,杭州,38,169,0,131,0,330100,浙江省
41,省十里丰监狱,36,36,0,0,0,0,浙江省
42,嘉兴,17,45,0,28,0,330400,浙江省
43,金华,16,55,0,39,0,330700,浙江省
44,绍兴,12,42,0,30,0,330600,浙江省
45,舟山,5,10,0,5,0,330900,浙江省
46,衢州,4,14,0,10,0,330800,浙江省
47,丽水,3,17,0,14,0,331100,浙江省
48,湖州,3,10,0,7,0,330500,浙江省
49,济宁,223,257,0,34,0,370800,山东省
50,烟台,27,47,0,20,0,370600,山东省
51,济南,23,47,0,24,0,370100,山东省
52,潍坊,22,44,0,22,0,370700,山东省
53,青岛,21,60,0,38,1,370200,山东省
54,德州,20,37,0,15,2,371400,山东省
55,威海,13,38,0,25,0,371000,山东省
56,聊城,13,38,0,25,0,371500,山东省
57,淄博,13,30,0,16,1,370300,山东省
58,泰安,12,35,0,22,1,370900,山东省
59,临沂,5,49,0,44,0,371300,山东省
60,枣庄,5,24,0,19,0,370400,山东省
61,日照,5,16,0,11,0,371100,山东省
62,滨州,4,15,0,11,0,371600,山东省
63,菏泽,1,18,0,17,0,371700,山东省
64,合肥,70,174,0,103,1,340100,安徽省
65,阜阳,51,155,0,104,0,341200,安徽省
66,蚌埠,48,160,0,107,5,340300,安徽省
67,亳州,27,108,0,81,0,341600,安徽省
68,六安,25,69,0,44,0,341500,安徽省
69,马鞍山,19,38,0,19,0,340500,安徽省
70,安庆,14,83,0,69,0,340800,安徽省
71,宿州,12,41,0,29,0,341300,安徽省
72,淮南,12,27,0,15,0,340400,安徽省
73,铜陵,11,29,0,18,0,340700,安徽省
74,淮北,10,27,0,17,0,340600,安徽省
75,芜湖,6,33,0,27,0,340200,安徽省
76,池州,6,17,0,11,0,341700,安徽省
77,滁州,4,13,0,9,0,341100,安徽省
78,黄山,3,9,0,6,0,341000,安徽省
79,宣城,2,6,0,4,0,341800,安徽省
