,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,4700,50005,0,42788,2517,420100,湖北省
1,孝感,21,3518,0,3369,128,420900,湖北省
2,鄂州,9,1394,0,1326,59,420700,湖北省
3,随州,9,1307,0,1253,45,421300,湖北省
4,仙桃,6,575,0,547,22,429004,湖北省
5,荆门,5,928,0,884,39,420800,湖北省
6,荆州,4,1580,0,1525,51,421000,湖北省
7,黄石,4,1015,0,973,38,420200,湖北省
8,宜昌,3,931,0,892,36,420500,湖北省
9,襄阳,2,1175,0,1134,39,420600,湖北省
10,潜江,2,198,0,187,9,429005,湖北省
11,黄冈,0,2907,0,2782,125,421100,湖北省
12,咸宁,0,836,0,821,15,421200,湖北省
13,十堰,0,672,0,664,8,420300,湖北省
14,天门,0,496,0,481,15,429006,湖北省
15,恩施州,0,252,0,245,7,422800,湖北省
16,神农架林区,0,11,0,11,0,429021,湖北省
17,境外输入人员,114,122,0,8,0,0,北京市
18,朝阳区,72,72,0,0,0,110105,北京市
19,海淀区,63,63,0,0,0,110108,北京市
20,西城区,53,53,0,0,0,110102,北京市
21,丰台区,40,43,0,3,0,110106,北京市
22,大兴区,23,39,0,16,0,110115,北京市
23,外地来京人员,23,25,0,2,0,-1,北京市
24,昌平区,19,29,0,10,0,110114,北京市
25,通州区,18,19,0,1,0,110112,北京市
26,房山区,13,16,0,3,0,110111,北京市
27,东城区,13,14,0,1,0,110101,北京市
28,怀柔区,7,7,0,0,0,110116,北京市
29,密云区,7,7,0,0,0,110118,北京市
30,石景山区,5,14,0,9,0,110107,北京市
31,门头沟区,1,3,0,2,0,110109,北京市
32,延庆区,1,1,0,0,0,110119,北京市
33,顺义区,0,10,0,10,0,110113,北京市
34,待明确地区,-344,0,0,336,8,0,北京市
35,广州,36,373,0,336,1,440100,广东省
36,深圳,24,440,0,413,3,440300,广东省
37,佛山,5,89,0,84,0,440600,广东省
38,中山,4,68,0,64,0,442000,广东省
39,珠海,3,101,0,97,1,440400,广东省
40,湛江,1,23,0,22,0,440800,广东省
41,肇庆,1,20,0,18,1,441200,广东省
42,梅州,1,17,0,16,0,441400,广东省
43,揭阳,1,9,0,8,0,445200,广东省
44,潮州,1,6,0,5,0,445100,广东省
45,东莞,0,100,0,99,1,441900,广东省
46,惠州,0,62,0,62,0,441300,广东省
