,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,36156,46201,0,8189,1856,420100,湖北省
1,孝感,2263,3443,0,1078,102,420900,湖北省
2,黄冈,1266,2904,0,1540,98,421100,湖北省
3,鄂州,922,1379,0,417,40,420700,湖北省
4,荆州,852,1574,0,681,41,421000,湖北省
5,随州,772,1300,0,498,30,421300,湖北省
6,襄阳,682,1173,0,463,28,420600,湖北省
7,宜昌,599,917,0,289,29,420500,湖北省
8,荆门,520,918,0,361,37,420800,湖北省
9,黄石,504,1001,0,468,29,420200,湖北省
10,咸宁,427,836,0,398,11,421200,湖北省
11,十堰,398,667,0,267,2,420300,湖北省
12,仙桃,304,571,0,248,19,429004,湖北省
13,监狱系统,250,253,0,3,0,0,湖北省
14,天门,249,494,0,232,13,429006,湖北省
15,恩施州,125,251,0,123,3,422800,湖北省
16,潜江,105,191,0,78,8,429005,湖北省
17,神农架林区,1,11,0,10,0,429021,湖北省
18,深圳,177,417,0,237,3,440300,广东省
19,广州,149,345,0,196,0,440100,广东省
20,东莞,62,94,0,31,1,441900,广东省
21,佛山,48,84,0,36,0,440600,广东省
22,珠海,45,98,0,52,1,440400,广东省
23,中山,17,66,0,49,0,442000,广东省
24,惠州,16,62,0,46,0,441300,广东省
25,江门,14,23,0,9,0,440700,广东省
26,湛江,8,22,0,14,0,440800,广东省
27,肇庆,8,19,0,10,1,441200,广东省
28,茂名,8,14,0,6,0,440900,广东省
29,梅州,5,16,0,11,0,441400,广东省
30,汕头,4,25,0,21,0,440500,广东省
31,韶关,4,10,0,6,0,440200,广东省
32,揭阳,4,8,0,4,0,445200,广东省
33,阳江,3,13,0,10,0,441700,广东省
34,汕尾,3,5,0,2,0,441500,广东省
35,河源,3,4,0,1,0,441600,广东省
36,清远,2,12,0,10,0,441800,广东省
37,潮州,1,5,0,4,0,445100,广东省
38,温州,211,504,0,292,1,330300,浙江省
39,台州,48,146,0,98,0,331000,浙江省
40,宁波,47,157,0,110,0,330200,浙江省
41,杭州,37,169,0,132,0,330100,浙江省
42,省十里丰监狱,36,36,0,0,0,0,浙江省
43,嘉兴,20,45,0,25,0,330400,浙江省
44,金华,16,55,0,39,0,330700,浙江省
45,绍兴,14,42,0,28,0,330600,浙江省
46,舟山,5,10,0,5,0,330900,浙江省
47,衢州,4,14,0,10,0,330800,浙江省
48,丽水,3,17,0,14,0,331100,浙江省
49,湖州,3,10,0,7,0,330500,浙江省
50,济宁,226,257,0,31,0,370800,山东省
51,烟台,28,47,0,19,0,370600,山东省
52,青岛,24,59,0,34,1,370200,山东省
53,济南,23,47,0,24,0,370100,山东省
54,德州,23,37,0,12,2,371400,山东省
55,潍坊,22,44,0,22,0,370700,山东省
56,威海,17,38,0,21,0,371000,山东省
57,淄博,16,30,0,14,0,370300,山东省
58,聊城,14,38,0,24,0,371500,山东省
59,泰安,13,35,0,21,1,370900,山东省
60,枣庄,6,24,0,18,0,370400,山东省
61,日照,6,16,0,10,0,371100,山东省
62,临沂,5,49,0,44,0,371300,山东省
63,滨州,4,15,0,11,0,371600,山东省
64,菏泽,2,18,0,16,0,371700,山东省
65,信阳,101,274,0,171,2,411500,河南省
66,郑州,59,157,0,98,0,410100,河南省
67,南阳,39,155,0,114,2,411300,河南省
68,周口,27,76,0,49,0,411600,河南省
69,驻马店,23,139,0,116,0,411700,河南省
70,商丘,19,91,0,69,3,411400,河南省
71,安阳,16,53,0,37,0,410500,河南省
72,平顶山,15,58,0,42,1,410400,河南省
73,焦作,14,32,0,17,1,410800,河南省
74,许昌,13,39,0,26,0,411000,河南省
75,漯河,13,35,0,22,0,411100,河南省
76,洛阳,12,31,0,18,1,410300,河南省
