,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,36594,45660,0,7292,1774,420100,湖北省
1,孝感,2414,3429,0,917,98,420900,湖北省
2,黄冈,1396,2899,0,1408,95,421100,湖北省
3,鄂州,950,1375,0,386,39,420700,湖北省
4,荆州,914,1566,0,612,40,421000,湖北省
5,随州,824,1296,0,443,29,421300,湖北省
6,襄阳,745,1173,0,402,26,420600,湖北省
7,宜昌,612,914,0,273,29,420500,湖北省
8,荆门,581,914,0,296,37,420800,湖北省
9,黄石,536,997,0,433,28,420200,湖北省
10,咸宁,462,836,0,363,11,421200,湖北省
11,十堰,418,659,0,239,2,420300,湖北省
12,仙桃,321,571,0,231,19,429004,湖北省
13,天门,283,493,0,198,12,429006,湖北省
14,监狱系统,218,221,0,3,0,0,湖北省
15,恩施州,131,251,0,117,3,422800,湖北省
16,潜江,114,189,0,67,8,429005,湖北省
17,神农架林区,1,11,0,10,0,429021,湖北省
18,深圳,189,417,0,226,2,440300,广东省
19,广州,153,343,0,190,0,440100,广东省
20,东莞,61,93,0,31,1,441900,广东省
21,佛山,50,84,0,34,0,440600,广东省
22,珠海,45,98,0,52,1,440400,广东省
23,中山,20,66,0,46,0,442000,广东省
24,惠州,16,62,0,46,0,441300,广东省
25,江门,14,23,0,9,0,440700,广东省
26,湛江,10,22,0,12,0,440800,广东省
27,肇庆,10,19,0,8,1,441200,广东省
28,茂名,8,14,0,6,0,440900,广东省
29,汕头,5,25,0,20,0,440500,广东省
30,梅州,5,16,0,11,0,441400,广东省
31,韶关,4,10,0,6,0,440200,广东省
32,揭阳,4,8,0,4,0,445200,广东省
33,阳江,3,13,0,10,0,441700,广东省
34,汕尾,3,5,0,2,0,441500,广东省
35,河源,3,4,0,1,0,441600,广东省
36,清远,2,12,0,10,0,441800,广东省
37,潮州,1,5,0,4,0,445100,广东省
38,温州,223,504,0,280,1,330300,浙江省
39,台州,54,146,0,92,0,331000,浙江省
40,宁波,51,157,0,106,0,330200,浙江省
41,杭州,48,169,0,121,0,330100,浙江省
42,省十里丰监狱,36,36,0,0,0,0,浙江省
43,嘉兴,22,45,0,23,0,330400,浙江省
44,绍兴,20,42,0,22,0,330600,浙江省
45,金华,16,55,0,39,0,330700,浙江省
46,舟山,5,10,0,5,0,330900,浙江省
47,衢州,4,14,0,10,0,330800,浙江省
48,丽水,3,17,0,14,0,331100,浙江省
49,湖州,3,10,0,7,0,330500,浙江省
50,济宁,223,253,0,30,0,370800,山东省
51,烟台,29,47,0,18,0,370600,山东省
52,潍坊,27,44,0,17,0,370700,山东省
53,济南,25,47,0,22,0,370100,山东省
54,青岛,24,59,0,34,1,370200,山东省
55,德州,23,37,0,12,2,371400,山东省
56,威海,17,38,0,21,0,371000,山东省
57,聊城,16,38,0,22,0,371500,山东省
58,淄博,16,30,0,14,0,370300,山东省
59,泰安,15,35,0,19,1,370900,山东省
60,枣庄,10,24,0,14,0,370400,山东省
61,日照,7,16,0,9,0,371100,山东省
62,临沂,5,49,0,44,0,371300,山东省
63,滨州,4,15,0,11,0,371600,山东省
64,菏泽,3,18,0,15,0,371700,山东省
65,信阳,123,273,0,148,2,411500,河南省
66,郑州,59,157,0,98,0,410100,河南省
67,南阳,49,155,0,104,2,411300,河南省
68,驻马店,28,139,0,111,0,411700,河南省
69,周口,28,76,0,48,0,411600,河南省
