,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,32952,35991,0,2023,1016,420100,湖北省
1,孝感,2697,3009,0,255,57,420900,湖北省
2,黄冈,2204,2791,0,528,59,421100,湖北省
3,荆州,1257,1447,0,163,27,421000,湖北省
4,随州,1118,1206,0,72,16,421300,湖北省
5,襄阳,1022,1111,0,73,16,420600,湖北省
6,鄂州,977,1125,0,116,32,420700,湖北省
7,黄石,795,943,0,137,11,420200,湖北省
8,宜昌,782,877,0,82,13,420500,湖北省
9,荆门,771,901,0,105,25,420800,湖北省
10,咸宁,625,732,0,99,8,421200,湖北省
11,十堰,495,586,0,89,2,420300,湖北省
12,仙桃,425,500,0,58,17,429004,湖北省
13,天门,385,416,0,21,10,429006,湖北省
14,恩施州,173,237,0,60,4,422800,湖北省
15,潜江,88,104,0,11,5,429005,湖北省
16,神农架林区,2,10,0,8,0,429021,湖北省
17,深圳,296,400,0,104,0,440300,广东省
18,广州,235,328,0,93,0,440100,广东省
19,东莞,65,73,0,7,1,441900,广东省
20,珠海,64,91,0,27,0,440400,广东省
21,佛山,60,82,0,22,0,440600,广东省
22,中山,38,64,0,26,0,442000,广东省
23,惠州,38,56,0,18,0,441300,广东省
24,江门,19,22,0,3,0,440700,广东省
25,汕头,16,25,0,9,0,440500,广东省
26,湛江,11,22,0,11,0,440800,广东省
27,茂名,10,13,0,3,0,440900,广东省
28,肇庆,9,17,0,7,1,441200,广东省
29,阳江,8,13,0,5,0,441700,广东省
30,梅州,7,14,0,7,0,441400,广东省
31,清远,5,12,0,7,0,441800,广东省
32,韶关,5,8,0,3,0,440200,广东省
33,潮州,5,5,0,0,0,445100,广东省
34,揭阳,4,8,0,4,0,445200,广东省
35,汕尾,4,5,0,1,0,441500,广东省
36,河源,2,3,0,1,0,441600,广东省
37,待明确地区,-4,0,0,4,0,0,广东省
38,信阳,182,243,0,60,1,411500,河南省
39,南阳,99,146,0,45,2,411300,河南省
40,驻马店,87,137,0,50,0,411700,河南省
41,郑州,80,142,0,62,0,410100,河南省
42,商丘,61,88,0,25,2,411400,河南省
43,周口,44,69,0,25,0,411600,河南省
44,新乡,43,55,0,10,2,410700,河南省
45,平顶山,37,57,0,19,1,410400,河南省
46,安阳,34,50,0,16,0,410500,河南省
47,许昌,31,37,0,6,0,411000,河南省
48,漯河,24,33,0,9,0,411100,河南省
49,焦作,23,29,0,5,1,410800,河南省
50,洛阳,22,30,0,8,0,410300,河南省
51,开封,17,25,0,8,0,410200,河南省
52,鹤壁,15,19,0,4,0,410600,河南省
53,濮阳,12,13,0,1,0,410900,河南省
54,济源,4,4,0,0,0,419001,河南省
55,三门峡,3,7,0,4,0,411200,河南省
56,待明确地区,-2,0,0,0,2,0,河南省
57,温州,337,496,0,159,0,330300,浙江省
58,宁波,107,153,0,46,0,330200,浙江省
59,杭州,96,165,0,69,0,330100,浙江省
60,台州,92,144,0,52,0,331000,浙江省
61,嘉兴,32,42,0,10,0,330400,浙江省
62,金华,31,55,0,24,0,330700,浙江省
63,绍兴,26,42,0,16,0,330600,浙江省
64,衢州,13,21,0,8,0,330800,浙江省
65,丽水,7,17,0,10,0,331100,浙江省
66,湖州,6,10,0,4,0,330500,浙江省
67,舟山,5,10,0,5,0,330900,浙江省
68,蚌埠,141,149,0,3,5,340300,安徽省
69,合肥,127,166,0,38,1,340100,安徽省
70,阜阳,118,146,0,28,0,341200,安徽省
71,亳州,87,106,0,19,0,341600,安徽省
72,六安,53,61,0,8,0,341500,安徽省
73,安庆,49,81,0,32,0,340800,安徽省
74,宿州,29,39,0,10,0,341300,安徽省
75,马鞍山,25,34,0,9,0,340500,安徽省
76,芜湖,23,31,0,8,0,340200,安徽省
77,淮北,19,25,0,6,0,340600,安徽省
78,铜陵,18,28,0,10,0,340700,安徽省
79,淮南,17,23,0,6,0,340400,安徽省
80,池州,13,17,0,4,0,341700,安徽省
81,黄山,8,9,0,1,0,341000,安徽省
82,滁州,6,13,0,7,0,341100,安徽省
83,宣城,2,6,0,4,0,341800,安徽省
84,南昌,149,217,0,68,0,360100,江西省
85,上饶,104,122,0,18,0,361100,江西省
86,九江,98,114,0,16,0,360400,江西省
87,新余,93,124,0,31,0,360500,江西省
88,宜春,83,101,0,18,0,360900,江西省
89,赣州,63,76,0,12,1,360700,江西省
90,抚州,57,71,0,14,0,361000,江西省
91,萍乡,29,31,0,2,0,360300,江西省
92,鹰潭,16,18,0,2,0,360600,江西省
93,吉安,15,20,0,5,0,360800,江西省
