,cityName,confirmedCount,suspectedCount,curedCount,deadCount,provinceName
0,武汉,2639,0,103,159,湖北省
1,黄冈,573,0,6,12,湖北省
2,孝感,541,0,2,9,湖北省
3,襄阳,286,0,0,0,湖北省
4,随州,228,0,0,0,湖北省
5,荆门,227,0,0,5,湖北省
6,荆州,221,0,6,3,湖北省
7,鄂州,189,0,0,6,湖北省
8,黄石,168,0,0,1,湖北省
9,宜昌,167,0,0,1,湖北省
10,咸宁,166,0,0,0,湖北省
11,十堰,150,0,0,0,湖北省
12,仙桃,90,0,0,1,湖北省
13,恩施州,75,0,0,0,湖北省
14,天门,67,0,0,6,湖北省
15,潜江,12,0,0,1,湖北省
16,神农架林区,7,0,2,0,湖北省
17,温州,227,0,7,0,浙江省
18,杭州,85,0,0,0,浙江省
19,台州,81,0,1,0,浙江省
20,宁波,46,0,1,0,浙江省
21,金华,27,0,3,0,浙江省
22,绍兴,23,0,0,0,浙江省
23,嘉兴,16,0,0,0,浙江省
24,衢州,12,0,0,0,浙江省
25,舟山,7,0,1,0,浙江省
26,丽水,7,0,1,0,浙江省
27,湖州,6,0,0,0,浙江省
28,深圳,134,0,4,0,广东省
29,广州,112,0,1,0,广东省
30,珠海,34,0,1,0,广东省
31,佛山,33,0,1,0,广东省
32,惠州,20,0,1,0,广东省
33,中山,18,0,0,0,广东省
34,东莞,16,0,0,0,广东省
35,汕头,12,0,0,0,广东省
36,湛江,11,0,1,0,广东省
37,阳江,10,0,0,0,广东省
38,肇庆,6,0,0,0,广东省
39,清远,6,0,1,0,广东省
40,揭阳,6,0,0,0,广东省
41,梅州,5,0,0,0,广东省
42,韶关,4,0,0,0,广东省
43,汕尾,3,0,0,0,广东省
44,茂名,3,0,0,0,广东省
45,江门,2,0,0,0,广东省
46,河源,1,0,0,0,广东省
47,南阳,61,0,0,2,河南省
48,郑州,50,0,1,0,河南省
49,信阳,49,0,0,0,河南省
50,周口,36,0,1,0,河南省
51,驻马店,30,0,0,0,河南省
52,商丘,27,0,0,0,河南省
53,安阳,20,0,0,0,河南省
54,新乡,15,0,0,0,河南省
55,漯河,13,0,0,0,河南省
56,平顶山,10,0,0,0,河南省
57,许昌,8,0,0,0,河南省
58,三门峡,6,0,0,0,河南省
59,开封,6,0,0,0,河南省
60,鹤壁,6,0,0,0,河南省
61,永城,4,0,0,0,河南省
62,洛阳,3,0,0,0,河南省
63,濮阳,3,0,0,0,河南省
64,焦作,2,0,0,0,河南省
65,长垣,2,0,0,0,河南省
66,滑县,1,0,0,0,河南省
67,长沙,68,0,1,0,湖南省
68,岳阳,37,0,0,0,湖南省
69,常德,37,0,0,0,湖南省
70,邵阳,36,0,0,0,湖南省
71,怀化,26,0,0,0,湖南省
72,衡阳,25,0,0,0,湖南省
73,娄底,20,0,0,0,湖南省
74,益阳,20,0,0,0,湖南省
75,株洲,19,0,0,0,湖南省
76,永州,16,0,0,0,湖南省
77,郴州,12,0,1,0,湖南省
78,湘潭,10,0,0,0,湖南省
79,湘西自治州,5,0,0,0,湖南省
80,张家界,1,0,0,0,湖南省
81,南昌,67,0,1,0,江西省
82,九江,42,0,0,0,江西省
83,新余,28,0,2,0,江西省
84,赣州,27,0,0,0,江西省
85,宜春,26,0,0,0,江西省
86,抚州,15,0,0,0,江西省
87,上饶,12,0,1,0,江西省
88,萍乡,8,0,1,0,江西省
89,吉安,8,0,1,0,江西省
90,鹰潭,4,0,0,0,江西省
91,景德镇,3,0,1,0,江西省
92,合肥,50,0,1,0,安徽省
93,阜阳,38,0,0,0,安徽省
94,亳州,20,0,1,0,安徽省
95,安庆,18,0,0,0,安徽省
96,蚌埠,15,0,0,0,安徽省
97,铜陵,14,0,0,0,安徽省
98,马鞍山,14,0,0,0,安徽省
99,芜湖,14,0,0,0,安徽省
100,宿州,10,0,0,0,安徽省
101,六安,9,0,1,0,安徽省
102,黄山,9,0,0,0,安徽省
103,淮南,6,0,0,0,安徽省
104,宿松,6,0,0,0,安徽省
105,滁州,4,0,0,0,安徽省
106,池州,4,0,0,0,安徽省
107,宣城,4,0,0,0,安徽省
108,淮北,2,0,0,0,安徽省
109,万州区,29,0,0,0,重庆市
110,开州区,16,0,0,0,重庆市
111,云阳县,15,0,0,0,重庆市
112,忠县,12,0,0,0,重庆市
113,渝北区,10,0,0,0,重庆市
114,巫溪县,10,0,0,0,重庆市
115,两江新区,9,0,0,0,重庆市
116,长寿区,9,0,0,0,重庆市
117,江北区,8,0,0,0,重庆市
118,九龙坡区,8,0,0,0,重庆市
119,垫江县,8,0,0,0,重庆市
120,石柱县,8,0,0,0,重庆市
121,大渡口区,6,0,0,0,重庆市
122,合川区,6,0,0,0,重庆市
123,璧山区,6,0,0,0,重庆市
124,巫山县,6,0,1,0,重庆市
125,渝中区,6,0,0,0,重庆市
126,奉节县,5,0,0,0,重庆市
127,綦江区,4,0,0,0,重庆市
128,大足区,4,0,0,0,重庆市
129,江津区,3,0,0,0,重庆市
