,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,33530,47441,0,11826,2085,420100,湖北省
1,孝感,2000,3501,0,1388,113,420900,湖北省
2,黄冈,945,2904,0,1852,107,421100,湖北省
3,鄂州,803,1387,0,543,41,420700,湖北省
4,荆州,711,1577,0,822,44,421000,湖北省
5,随州,617,1306,0,652,37,421300,湖北省
6,宜昌,535,927,0,362,30,420500,湖北省
7,襄阳,492,1175,0,653,30,420600,湖北省
8,荆门,416,922,0,469,37,420800,湖北省
9,黄石,377,1011,0,602,32,420200,湖北省
10,十堰,320,671,0,348,3,420300,湖北省
11,咸宁,258,836,0,567,11,421200,湖北省
12,仙桃,219,575,0,337,19,429004,湖北省
13,天门,197,496,0,286,13,429006,湖北省
14,潜江,93,196,0,94,9,429005,湖北省
15,恩施州,89,251,0,158,4,422800,湖北省
16,神农架林区,1,11,0,10,0,429021,湖北省
17,深圳,152,417,0,262,3,440300,广东省
18,广州,123,346,0,222,1,440100,广东省
19,东莞,56,97,0,40,1,441900,广东省
20,佛山,48,84,0,36,0,440600,广东省
21,珠海,38,98,0,59,1,440400,广东省
22,江门,12,23,0,11,0,440700,广东省
23,中山,11,66,0,55,0,442000,广东省
24,惠州,10,62,0,52,0,441300,广东省
25,湛江,8,22,0,14,0,440800,广东省
26,茂名,7,14,0,7,0,440900,广东省
27,肇庆,5,19,0,13,1,441200,广东省
28,梅州,4,16,0,12,0,441400,广东省
29,阳江,4,14,0,10,0,441700,广东省
30,汕头,3,25,0,22,0,440500,广东省
31,韶关,3,10,0,7,0,440200,广东省
32,揭阳,3,8,0,5,0,445200,广东省
33,汕尾,1,5,0,4,0,441500,广东省
34,潮州,1,5,0,4,0,445100,广东省
35,清远,0,12,0,12,0,441800,广东省
36,河源,0,4,0,4,0,441600,广东省
37,济宁,215,258,0,43,0,370800,山东省
38,济南,22,47,0,25,0,370100,山东省
39,烟台,21,47,0,26,0,370600,山东省
40,青岛,20,60,0,39,1,370200,山东省
41,潍坊,20,44,0,24,0,370700,山东省
42,德州,20,37,0,15,2,371400,山东省
