,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,34256,37914,0,2535,1123,420100,湖北省
1,孝感,2739,3114,0,313,62,420900,湖北省
2,黄冈,2138,2817,0,611,68,421100,湖北省
3,荆州,1253,1478,0,193,32,421000,湖北省
4,随州,1117,1232,0,96,19,421300,湖北省
5,襄阳,1025,1128,0,85,18,420600,湖北省
6,鄂州,960,1192,0,199,33,420700,湖北省
7,宜昌,799,906,0,92,15,420500,湖北省
8,黄石,789,980,0,178,13,420200,湖北省
9,荆门,762,902,0,112,28,420800,湖北省
10,咸宁,705,840,0,127,8,421200,湖北省
11,十堰,494,597,0,101,2,420300,湖北省
12,仙桃,434,514,0,63,17,429004,湖北省
13,天门,391,422,0,21,10,429006,湖北省
14,恩施州,165,244,0,75,4,422800,湖北省
15,潜江,99,116,0,12,5,429005,湖北省
16,神农架林区,2,10,0,8,0,429021,湖北省
17,深圳,291,406,0,115,0,440300,广东省
18,广州,229,335,0,106,0,440100,广东省
19,东莞,73,81,0,7,1,441900,广东省
20,珠海,61,95,0,34,0,440400,广东省
21,佛山,61,84,0,23,0,440600,广东省
22,中山,34,65,0,31,0,442000,广东省
23,惠州,32,58,0,26,0,441300,广东省
24,江门,19,22,0,3,0,440700,广东省
25,汕头,14,25,0,11,0,440500,广东省
26,湛江,11,22,0,11,0,440800,广东省
27,茂名,10,13,0,3,0,440900,广东省
28,肇庆,8,17,0,8,1,441200,广东省
29,梅州,8,15,0,7,0,441400,广东省
30,阳江,6,13,0,7,0,441700,广东省
31,韶关,6,10,0,4,0,440200,广东省
32,清远,5,12,0,7,0,441800,广东省
33,揭阳,4,8,0,4,0,445200,广东省
34,汕尾,4,5,0,1,0,441500,广东省
35,潮州,4,5,0,1,0,445100,广东省
36,河源,2,3,0,1,0,441600,广东省
37,信阳,186,252,0,64,2,411500,河南省
38,南阳,96,150,0,52,2,411300,河南省
39,驻马店,79,138,0,59,0,411700,河南省
40,郑州,78,144,0,66,0,410100,河南省
41,商丘,58,90,0,30,2,411400,河南省
42,周口,45,70,0,25,0,411600,河南省
43,新乡,43,55,0,10,2,410700,河南省
44,平顶山,37,58,0,20,1,410400,河南省
45,安阳,33,51,0,18,0,410500,河南省
46,许昌,30,37,0,7,0,411000,河南省
47,漯河,25,34,0,9,0,411100,河南省
48,焦作,23,30,0,6,1,410800,河南省
49,洛阳,22,31,0,9,0,410300,河南省
50,开封,19,25,0,6,0,410200,河南省
51,鹤壁,15,19,0,4,0,410600,河南省
52,濮阳,15,17,0,2,0,410900,河南省
53,济源,4,4,0,0,0,419001,河南省
54,三门峡,3,7,0,4,0,411200,河南省
55,待明确地区,-3,0,0,0,3,0,河南省
56,温州,330,499,0,169,0,330300,浙江省
57,宁波,108,154,0,46,0,330200,浙江省
58,杭州,93,166,0,73,0,330100,浙江省
59,台州,85,145,0,60,0,331000,浙江省
60,嘉兴,32,43,0,11,0,330400,浙江省
61,金华,31,55,0,24,0,330700,浙江省
62,绍兴,25,42,0,17,0,330600,浙江省
63,衢州,12,21,0,9,0,330800,浙江省
64,丽水,7,17,0,10,0,331100,浙江省
65,湖州,6,10,0,4,0,330500,浙江省
