,cityName,confirmedCount,suspectedCount,curedCount,deadCount,provinceName
0,武汉,1905,0,54,104,湖北省
1,黄冈,324,0,2,5,湖北省
2,孝感,274,0,0,3,湖北省
3,荆门,142,0,0,4,湖北省
4,襄阳,131,0,0,0,湖北省
5,随州,116,0,0,0,湖北省
6,咸宁,112,0,0,0,湖北省
7,荆州,101,0,1,2,湖北省
8,十堰,88,0,0,0,湖北省
9,黄石,86,0,0,1,湖北省
10,鄂州,84,0,0,1,湖北省
11,宜昌,63,0,0,1,湖北省
12,恩施州,51,0,0,0,湖北省
13,天门,34,0,0,3,湖北省
14,仙桃,32,0,0,0,湖北省
15,潜江,8,0,0,1,湖北省
16,神农架林区,3,0,0,0,湖北省
17,温州,114,0,3,0,浙江省
18,杭州,51,0,0,0,浙江省
19,台州,40,0,0,0,浙江省
20,宁波,20,0,0,0,浙江省
21,绍兴,19,0,0,0,浙江省
22,嘉兴,14,0,0,0,浙江省
23,金华,13,0,0,0,浙江省
24,衢州,8,0,0,0,浙江省
25,舟山,6,0,0,0,浙江省
26,丽水,6,0,0,0,浙江省
27,湖州,5,0,0,0,浙江省
28,深圳,80,0,4,0,广东省
29,广州,63,0,0,0,广东省
30,佛山,21,0,0,0,广东省
31,珠海,18,0,0,0,广东省
32,中山,13,0,0,0,广东省
33,惠州,12,0,1,0,广东省
34,阳江,10,0,0,0,广东省
35,湛江,9,0,0,0,广东省
36,汕头,8,0,0,0,广东省
37,东莞,7,0,0,0,广东省
38,清远,6,0,0,0,广东省
39,揭阳,6,0,0,0,广东省
40,肇庆,5,0,0,0,广东省
41,外地来粤人员,5,0,0,0,广东省
42,韶关,4,0,0,0,广东省
43,梅州,4,0,0,0,广东省
44,茂名,3,0,0,0,广东省
45,汕尾,1,0,0,0,广东省
46,河源,1,0,0,0,广东省
47,江门,1,0,0,0,广东省
48,长沙,46,0,0,0,湖南省
49,岳阳,26,0,0,0,湖南省
50,常德,26,0,0,0,湖南省
51,邵阳,19,0,0,0,湖南省
52,怀化,18,0,0,0,湖南省
53,衡阳,17,0,0,0,湖南省
54,益阳,14,0,0,0,湖南省
55,株洲,13,0,0,0,湖南省
56,娄底,13,0,0,0,湖南省
57,永州,11,0,0,0,湖南省
58,湘潭,8,0,0,0,湖南省
59,郴州,7,0,0,0,湖南省
60,湘西自治州,3,0,0,0,湖南省
61,郑州,40,0,0,0,河南省
62,信阳,32,0,0,0,河南省
63,南阳,31,0,0,1,河南省
64,周口,19,0,0,0,河南省
65,驻马店,16,0,0,0,河南省
66,安阳市,14,0,0,0,河南省
67,商丘,14,0,0,0,河南省
68,漯河市,9,0,0,0,河南省
69,新乡,7,0,0,0,河南省
70,平顶山,5,0,0,0,河南省
71,鹤壁,5,0,0,0,河南省
72,三门峡,4,0,0,0,河南省
73,开封,3,0,0,0,河南省
74,洛阳,2,0,0,0,河南省
75,许昌,2,0,0,0,河南省
76,焦作,2,0,0,0,河南省
77,濮阳,1,0,0,0,河南省
78,合肥,29,0,1,0,安徽省
79,阜阳,23,0,0,0,安徽省
80,亳州,15,0,1,0,安徽省
81,安庆,14,0,0,0,安徽省
82,马鞍山,11,0,0,0,安徽省
83,芜湖,11,0,0,0,安徽省
84,铜陵,9,0,0,0,安徽省
85,宿州,9,0,0,0,安徽省
86,黄山,7,0,0,0,安徽省
87,六安,6,0,0,0,安徽省
88,滁州,4,0,0,0,安徽省
89,宿松,4,0,0,0,安徽省
90,蚌埠,3,0,0,0,安徽省
91,宣城,2,0,0,0,安徽省
92,淮北,2,0,0,0,安徽省
93,淮南,2,0,0,0,安徽省
94,池州,1,0,0,0,安徽省
95,万州区,17,0,0,0,重庆市
96,开州区,11,0,0,0,重庆市
97,忠县,11,0,0,0,重庆市
98,云阳县,11,0,0,0,重庆市
99,两江新区,8,0,0,0,重庆市
100,长寿区,7,0,0,0,重庆市
101,石柱县,7,0,0,0,重庆市
102,大渡口区,6,0,0,0,重庆市
103,渝北区,6,0,0,0,重庆市
104,江北区,5,0,0,0,重庆市
105,九龙坡区,5,0,0,0,重庆市
106,合川区,5,0,0,0,重庆市
107,垫江县,5,0,0,0,重庆市
108,巫山县,5,0,1,0,重庆市
109,巫溪县,5,0,0,0,重庆市
110,綦江区,4,0,0,0,重庆市
111,璧山区,4,0,0,0,重庆市
112,奉节县,4,0,0,0,重庆市
113,永川区,3,0,0,0,重庆市
114,丰都县,3,0,0,0,重庆市
115,江津区,2,0,0,0,重庆市
116,铜梁区,2,0,0,0,重庆市
117,潼南区,2,0,0,0,重庆市
118,涪陵区,1,0,0,0,重庆市
119,巴南区,1,0,0,0,重庆市
120,大足区,1,0,0,0,重庆市
121,梁平区,1,0,0,0,重庆市
122,城口县,1,0,0,0,重庆市
123,秀山县,1,0,0,0,重庆市
124,黔江区,1,0,0,0,重庆市
125,南岸区,1,0,0,0,重庆市
126,渝中区,1,0,0,0,重庆市
127,青岛,17,0,1,0,山东省
128,临沂,16,0,0,0,山东省
129,威海,12,0,0,0,山东省
130,烟台,12,0,0,0,山东省
131,济南,11,0,0,0,山东省
132,德州,11,0,0,0,山东省
133,枣庄,8,0,0,0,山东省
134,日照,8,0,0,0,山东省
135,菏泽,7,0,0,0,山东省
136,滨州,7,0,0,0,山东省
137,潍坊,5,0,0,0,山东省
138,济宁,5,0,0,0,山东省
139,淄博,4,0,0,0,山东省
140,聊城,4,0,0,0,山东省
141,泰安,3,0,0,0,山东省
142,海淀,24,0,0,0,北京市
143,朝阳,21,0,0,0,北京市
144,西城,12,0,0,0,北京市
145,外地来京人员,11,0,2,0,北京市
146,丰台,10,0,0,0,北京市
147,大兴,10,0,2,0,北京市
148,昌平,8,0,0,0,北京市
149,通州,8,0,0,0,北京市
150,石景山,2,0,0,0,北京市
151,顺义,2,0,0,0,北京市
152,东城,2,0,0,0,北京市
153,门头沟,1,0,0,0,北京市
154,南昌,25,0,0,0,江西省
155,九江,16,0,0,0,江西省
156,赣州,16,0,0,0,江西省
157,宜春,14,0,0,0,江西省
158,新余,11,0,1,0,江西省
159,抚州,9,0,0,0,江西省
160,上饶,9,0,0,0,江西省
161,吉安,4,0,1,0,江西省
162,萍乡,2,0,1,0,江西省
163,景德镇,2,0,0,0,江西省
164,鹰潭,1,0,0,0,江西省
165,成都,46,0,1,1,四川省
166,绵阳,8,0,0,0,四川省
167,广安,7,0,0,0,四川省
168,自贡,7,0,0,0,四川省
169,泸州,5,0,0,0,四川省
170,南充,5,0,0,0,四川省
171,达州,4,0,0,0,四川省
172,内江,4,0,0,0,四川省
173,遂宁,3,0,0,0,四川省
174,甘孜州,3,0,0,0,四川省
175,德阳,2,0,0,0,四川省
176,雅安,2,0,0,0,四川省
